year,disposable_income,money_supply,houses_built,interest_rates,gdp,house_price_ratio_wages,house_prices,mortgage_interest,mortgage_ratio_wages,bubble
1987,308769,106218909090.90909,215100,9.38,21192,4.052932129456077,14.75171690825325,100.7,0.320185408108712,TRUE
1988,341883,122330416666.66667,226880,9.463333333333335,22246,4.394097278518259,18.877579143094906,111.8,0.35032280779667274,TRUE
1989,379772,150002750000,242920,14.02,22663,4.800743124877321,20.542510603959325,164.2,0.47221820772806045,TRUE
1990,424485,173271333333.33334,220850,13.88,22743,4.116819068893387,-6.166124187136877,210.9,0.42740621330829953,FALSE
1991,465053,181070750000,197210,11.88,22281,3.6054687706916626,-5.23212242628674,200.0,0.30803945441737635,FALSE
1992,497032,188431500000,191240,8.38,22232,3.2114929940081627,-5.152284281033513,181.9,0.22708521661815667,FALSE
1993,527407,200740000000,178410,5.63,22649,3.051968583257652,-1.137917959643918,144.1,0.1773978476802071,FALSE
1994,546605,217901333333.33334,186850,5.63,23377,2.9891667163022597,0.8433412276757295,150.9,0.16907620091751033,FALSE
1995,579652,237217916666.66666,195590,6.505,23804,2.8676015588913,-0.7459000240014061,174.7,0.16679960592091622,FALSE
1996,615922,264567250000,197710,5.925000000000001,24200,2.859472378629354,4.198902655037452,160.6,0.15974831641071305,FALSE
1997,639413,310875166666.6667,185940,6.75,25230,3.0305612747281048,10.835480270849942,180.7,0.19248729163380324,FALSE
1998,654733,351425250000,190760,6.9375,25955,3.1941646334395917,10.217698517589387,218.5,0.21496228017107655,FALSE
1999,687926,380915666666.6667,178290,5.416666666666667,26642,3.3491789982049376,9.050929747295058,189.3,0.20791071091088406,FALSE
2000,728132,431950916666.6667,184010,5.875,27637,3.621798098566573,13.086385057584284,234.3,0.23486967388657903,FALSE
2001,760728,486930250000,175370,4.964285714285714,28125,3.7907268547902855,10.465451068553092,222.1,0.23196582898015172,FALSE
2002,785991,520551250000,174200,4,28501,4.338290247448384,19.66843544560097,195.6,0.24559465472538655,TRUE
2003,814967,568245416666.6666,183220,3.6666666666666665,29258,5.033181106230945,19.87349390938615,206.3,0.2796474876446797,TRUE
2004,853783,637323750000,190590,4.375,29787,5.715337188761575,16.866268304853513,252.7,0.35499272384026886,TRUE
2005,892295,714489666666.6666,205400,4.5,30348,5.811066167816469,5.243535265313844,291.3,0.374931523773845,TRUE
2006,936349,791322166666.6666,210320,4.875,30792,5.966953043659286,6.4783970280909635,315.0,0.385837478588695,TRUE
2007,988199,878749000000,215220,5.5,31328,6.301361864234671,8.97076195010934,389.1,0.44240991213172437,TRUE
2008,1022479,1005360750000,215860,3.95,31025,5.651884642571049,-6.7198163705925635,387.9,0.3993583388261105,FALSE
2009,1048292,1030904250000,178570,1,29417,5.113299361411961,-6.980735078303917,223.6,0.3189952947425343,FALSE
2010,1070248,1094772000000,151230,0.5,29893,5.31745668363962,5.833330278842077,224.7,0.3159254902272636,FALSE
2011,1086075,1085676250000,136020,0.5,29961,5.2628066934021,-0.20265469141201203,231.6,0.3047469993709604,FALSE
2012,1130021,1109626500000,145880,0.5,30195,5.164485204327727,-0.9037973397198618,237.0,0.29952325049600625,FALSE
2013,1178514,1220736083333.3333,133060,0.5,30552,5.243117788835758,3.2486162044503533,243.6,0.28999705112444074,FALSE
2014,1219897,1327583250000,138630,0.5,31290,5.738691993902043,9.880000036252618,243.5,0.311024836622915,FALSE
2015,1291873,1419543750000,153060,0.5,31786,5.917748371863465,4.479549137084424,242.5,0.3060432572776707,FALSE
2016,1316332,1565774500000,169270,0.25,32208,6.064923207571249,5.093914694317792,235.0,0.2991777893848515,FALSE
2017,1352603,1667754000000,177950,0.5,32799,6.075229945063665,3.0341442382767942,224.7,0.28960607731882193,FALSE
2018,1408857,1739068083333.3333,192230,0.75,33160,5.994161554172546,2.016675616786088,232.8,0.28492200048626576,FALSE
2019,1462281,1779059500000,203910,0.75,33510,5.889236698018994,0.5466845016101746,240.0,0.27719448196575835,FALSE
