"Title","HH & NPISH (S.14 + S.15): Disposable income, gross (B.6g): Uses/Resources: Current price: £m: NSA"
"CDID","QWND"
"Source dataset ID","BB"
"PreUnit","£"
"Unit","m"
"Release date","31-10-2022"
"Next release","October 2023"
"Important notes",
"1948","8237"
"1949","8666"
"1950","9190"
"1951","9939"
"1952","10690"
"1953","11469"
"1954","12080"
"1955","13109"
"1956","14102"
"1957","14842"
"1958","15568"
"1959","16567"
"1960","17885"
"1961","19211"
"1962","20190"
"1963","21372"
"1964","23161"
"1965","24916"
"1966","26533"
"1967","27729"
"1968","29680"
"1969","31797"
"1970","35148"
"1971","38819"
"1972","45088"
"1973","52438"
"1974","61576"
"1975","76612"
"1976","89201"
"1977","100784"
"1978","118881"
"1979","143267"
"1980","170211"
"1981","190467"
"1982","208208"
"1983","225869"
"1984","246466"
"1985","268069"
"1986","291300"
"1987","308769"
"1988","341883"
"1989","379772"
"1990","424485"
"1991","465053"
"1992","497032"
"1993","527407"
"1994","546605"
"1995","579652"
"1996","615922"
"1997","639413"
"1998","654733"
"1999","687926"
"2000","728132"
"2001","760728"
"2002","785991"
"2003","814967"
"2004","853783"
"2005","892295"
"2006","936349"
"2007","988199"
"2008","1022479"
"2009","1048292"
"2010","1070248"
"2011","1086075"
"2012","1130021"
"2013","1178514"
"2014","1219897"
"2015","1291873"
"2016","1316332"
"2017","1352603"
"2018","1408857"
"2019","1462281"
"2020","1458031"
"2021","1511734"
